ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
FENG,Phoenix New Media Limited,Communication Services,Internet Content & Information,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,207,2019-01-22 00:00:00,2023-05-19 00:00:00
UI,Ubiquiti Inc.,Technology,Communication Equipment,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,207,2019-08-21 00:00:00,2023-12-04 00:00:00
VOXX,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,206,2019-01-09 00:00:00,2023-10-11 00:00:00
TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,206,2019-01-15 00:00:00,2023-11-28 00:00:00
RPT,Rithm Property Trust Inc.,Real Estate,REIT - Mortgage,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,206,2019-02-20 00:00:00,2023-12-04 00:00:00
AGS,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,206,2019-01-08 00:00:00,2023-12-12 00:00:00
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,205,2019-01-28 00:00:00,2023-12-11 00:00:00
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,,,NGM,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,205,2019-01-15 00:00:00,2023-12-16 00:00:00
DMRC,Digimarc Corporation,Technology,Software - Application,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,205,2019-01-04 00:00:00,2023-09-14 00:00:00
USFR,WisdomTree Floating Rate Treasury Fund,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,205,2019-02-19 00:00:00,2023-12-08 00:00:00
CBU,"Community Financial System, Inc.",Financial Services,Banks - Regional,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,204,2019-01-03 00:00:00,2023-12-14 00:00:00
MTLS,Materialise NV,Technology,Software - Application,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,204,2019-01-02 00:00:00,2023-10-26 00:00:00
FAX,Abrdn Asia-Pacific Income Fund Inc,Financial Services,Asset Management,ASE,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,204,2019-01-02 00:00:00,2023-07-28 00:00:00
AROW,Arrow Financial Corporation,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,204,2019-01-29 00:00:00,2023-12-16 00:00:00
GKOS,Glaukos Corporation,Healthcare,Medical Devices,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,204,2019-01-16 00:00:00,2023-12-16 00:00:00
AMLP,Alerian MLP ETF,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,203,2019-12-27 00:00:00,2023-12-12 00:00:00
ALT,"Altimmune, Inc.",Healthcare,Biotechnology,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,203,2019-03-07 00:00:00,2023-12-13 00:00:00
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,203,2019-01-04 00:00:00,2023-12-12 00:00:00
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,203,2019-03-07 00:00:00,2023-12-16 00:00:00
ZUO,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,203,2019-01-02 00:00:00,2023-12-14 00:00:00
TDW,Tidewater Inc.,Energy,Oil & Gas Equipment & Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,202,2019-01-08 00:00:00,2023-12-11 00:00:00
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,202,2019-01-09 00:00:00,2023-12-12 00:00:00
BGSF,"BGSF, Inc.",Industrials,Staffing & Employment Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,202,2019-01-03 00:00:00,2023-12-07 00:00:00
CASI,"CASI Pharmaceuticals, Inc.",Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,201,2019-02-13 00:00:00,2023-11-14 00:00:00
VKTX,"Viking Therapeutics, Inc.",Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,201,2019-01-08 00:00:00,2023-12-12 00:00:00
FBIZ,"First Business Financial Services, Inc.",Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,201,2019-01-17 00:00:00,2023-12-13 00:00:00
QTRX,Quanterix Corporation,Healthcare,Medical Devices,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,200,2019-03-07 00:00:00,2023-12-04 00:00:00
BJK,VanEck Gaming ETF,,,NGM,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,200,2019-01-01 00:00:00,2023-11-27 00:00:00
OLP,"One Liberty Properties, Inc.",Real Estate,REIT - Diversified,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,200,2019-01-03 00:00:00,2023-12-07 00:00:00
ENV,,,,,NONE,1257,2019-01-02,2023-12-28,96.4,True,True,True,200,2019-01-29 00:00:00,2023-12-01 00:00:00
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund ETF Shares,,,NGM,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,200,2019-01-29 04:30:00,2023-12-16 05:00:00
GTN,"Gray Media, Inc.",Communication Services,Broadcasting,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,199,2019-01-04 00:00:00,2023-12-11 00:00:00
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,199,2019-01-17 00:00:00,2023-12-03 00:00:00
