ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
UFCS,"United Fire Group, Inc.",Financial Services,Insurance - Property & Casualty,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,209,2019-01-18,2023-12-15
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,209,2019-01-03,2023-12-16
TTEC,"TTEC Holdings, Inc.",Technology,Information Technology Services,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,208,2019-01-04,2023-12-11
LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,207,2019-01-02,2023-12-14
ESEA,Euroseas Ltd.,Industrials,Marine Shipping,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,207,2019-01-10,2023-12-08
UI,Ubiquiti Inc.,Technology,Communication Equipment,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,207,2019-08-21,2023-12-04
OEC,Orion S.A.,Basic Materials,Specialty Chemicals,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,207,2019-01-28,2023-12-15
CRIS,"Curis, Inc.",Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,206,2019-01-02,2023-12-05
DLX,Deluxe Corporation,Industrials,Conglomerates,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,206,2019-01-15,2023-12-13
MNOV,"MediciNova, Inc.",Healthcare,Biotechnology,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,206,2019-01-07,2023-11-20
NWBI,"Northwest Bancshares, Inc.",Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,206,2019-01-19,2023-12-13
TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,206,2019-01-15,2023-11-28
CX,"CEMEX, S.A.B. de C.V.",Basic Materials,Building Materials,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,205,2019-01-09,2023-12-13
CBU,"Community Financial System, Inc.",Financial Services,Banks - Regional,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,204,2019-01-03,2023-12-14
PSO,Pearson plc,Communication Services,Publishing,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,204,2019-01-09,2023-11-26
GKOS,Glaukos Corporation,Healthcare,Medical Devices,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,204,2019-01-16,2023-12-16
PANL,Pangaea Logistics Solutions Ltd.,Industrials,Marine Shipping,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,204,2019-03-13,2023-12-11
BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,203,2019-01-04,2023-12-12
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,203,2019-03-07,2023-12-16
LSTR,"Landstar System, Inc.",Industrials,Integrated Freight & Logistics,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,203,2019-01-02,2023-12-16
PAHC,Phibro Animal Health Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,203,2019-01-02,2023-12-08
